metric,value,dataset
boundary_prob_correlation,0.8613801722794803,glasgow
boundary_prob_mae,0.12284872222222223,glasgow
abi_prob_vs_dissimilarity_corr,0.8937205941939279,glasgow
carbayes_prob_vs_dissimilarity_corr,0.8250143465204166,glasgow
median_boundary_count_abi,134.0,glasgow
median_boundary_count_carbayes,99.0,glasgow
median_boundary_overlap,99.0,glasgow
median_boundary_jaccard,0.7388059701492538,glasgow
boundary_prob_correlation,0.8397414899156749,california
boundary_prob_mae,0.1324284892086331,california
abi_prob_vs_dissimilarity_corr,0.9446246714667464,california
carbayes_prob_vs_dissimilarity_corr,0.8528858061504553,california
median_boundary_count_abi,33.0,california
median_boundary_count_carbayes,24.0,california
median_boundary_overlap,24.0,california
median_boundary_jaccard,0.7272727272727273,california
